normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,symboling
'\'B1of10\'',honda,gas,std,four,wagon,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B9of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',0
'\'B3of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B3of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',honda,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',honda,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',0
'\'B2of10\'',honda,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',0
'\'B3of10\'',honda,gas,std,two,sedan,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',1
'\'B3of10\'',isuzu,gas,std,four,sedan,rwd,front,'\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',0
'\'B3of10\'',isuzu,gas,std,two,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'','\'B3of10\'',1
'\'B3of10\'',isuzu,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'','\'B3of10\'',0
'\'B3of10\'',isuzu,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',spfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',2
'\'B5of10\'',jaguar,gas,std,four,sedan,rwd,front,'\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'',dohc,six,'\'B8of10\'',mpfi,'\'B8of10\'','\'B10of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',0
'\'B3of10\'',jaguar,gas,std,four,sedan,rwd,front,'\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'',dohc,six,'\'B8of10\'',mpfi,'\'B8of10\'','\'B10of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',0
'\'B3of10\'',jaguar,gas,std,two,sedan,rwd,front,'\'B5of10\'','\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B10of10\'',ohcv,twelve,'\'B10of10\'',mpfi,'\'B8of10\'','\'B4of10\'','\'B3of10\'','\'B9of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',0
'\'B3of10\'',mazda,gas,std,two,hatchback,fwd,front,'\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'',1
'\'B3of10\'',mazda,gas,std,two,hatchback,fwd,front,'\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',mazda,gas,std,two,hatchback,fwd,front,'\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',mazda,gas,std,four,sedan,fwd,front,'\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',mazda,gas,std,four,sedan,fwd,front,'\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',mazda,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',rotor,two,'\'B1of10\'',4bbl,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'',3
'\'B5of10\'',mazda,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',rotor,two,'\'B1of10\'',4bbl,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'',3
'\'B5of10\'',mazda,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',rotor,two,'\'B1of10\'',4bbl,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'',3
'\'B5of10\'',mazda,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',rotor,two,'\'B1of10\'',mpfi,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B8of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'',3
'\'B4of10\'',mazda,gas,std,two,hatchback,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B5of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',1
'\'B3of10\'',mazda,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B4of10\'',mazda,gas,std,two,hatchback,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B5of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',1
'\'B3of10\'',mazda,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',0
'\'B3of10\'',mazda,diesel,std,four,sedan,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',idi,'\'B7of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B3of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'',0
'\'B3of10\'',mazda,gas,std,four,hatchback,fwd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',0
'\'B3of10\'',mazda,gas,std,four,sedan,rwd,front,'\'B6of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B9of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',0
'\'B3of10\'',mazda,diesel,std,four,sedan,rwd,front,'\'B6of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',idi,'\'B7of10\'','\'B8of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'','\'B4of10\'',0
'\'B2of10\'',mercedes-benz,diesel,turbo,four,sedan,rwd,front,'\'B7of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'',ohc,five,'\'B5of10\'',idi,'\'B8of10\'','\'B8of10\'','\'B10of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'',-1
'\'B2of10\'',mercedes-benz,diesel,turbo,four,wagon,rwd,front,'\'B7of10\'','\'B8of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'',ohc,five,'\'B5of10\'',idi,'\'B8of10\'','\'B8of10\'','\'B10of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'',-1
'\'B2of10\'',mercedes-benz,diesel,turbo,two,hardtop,rwd,front,'\'B6of10\'','\'B7of10\'','\'B9of10\'','\'B6of10\'','\'B8of10\'',ohc,five,'\'B5of10\'',idi,'\'B8of10\'','\'B8of10\'','\'B10of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'',0
'\'B2of10\'',mercedes-benz,diesel,turbo,four,sedan,rwd,front,'\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'',ohc,five,'\'B5of10\'',idi,'\'B8of10\'','\'B8of10\'','\'B10of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B7of10\'',-1
'\'B3of10\'',mercedes-benz,gas,std,four,sedan,rwd,front,'\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'',ohcv,eight,'\'B7of10\'',mpfi,'\'B7of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',-1
'\'B5of10\'',mercedes-benz,gas,std,two,convertible,rwd,front,'\'B3of10\'','\'B6of10\'','\'B9of10\'','\'B3of10\'','\'B9of10\'',ohcv,eight,'\'B7of10\'',mpfi,'\'B7of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',3
'\'B3of10\'',mercedes-benz,gas,std,four,sedan,rwd,front,'\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'',ohcv,eight,'\'B10of10\'',mpfi,'\'B9of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'',0
'\'B3of10\'',mercedes-benz,gas,std,two,hardtop,rwd,front,'\'B8of10\'','\'B9of10\'','\'B10of10\'','\'B7of10\'','\'B9of10\'',ohcv,eight,'\'B10of10\'',mpfi,'\'B9of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',1
'\'B3of10\'',mercury,gas,turbo,two,hatchback,rwd,front,'\'B5of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B6of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B9of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',1
'\'B6of10\'',mitsubishi,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'',2
'\'B6of10\'',mitsubishi,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',2
