COMPACTNESS,CIRCULARITY,'DISTANCE CIRCULARITY','RADIUS RATIO','PR.AXIS ASPECT RATIO','MAX.LENGTH ASPECT RATIO','SCATTER RATIO',ELONGATEDNESS,'PR.AXIS RECTANGULARITY','MAX.LENGTH RECTANGULARITY ','SCALED VARIANCE ALONG MAJOR AXIS','SCALED VARIANCE ALONG MINOR AXIS','SCALED RADIUS OF GYRATION','SKEWNESS ABOUT MAJOR AXIS','SKEWNESS ABOUT MINOR AXIS','KURTOSIS ABOUT MINOR AXIS','KURTOSIS ABOUT MAJOR AXIS','HOLLOWS RATIO',class
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'',van
'\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'','\'B6of10\'',bus
'\'B5of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B6of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'',opel
'\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'',van
'\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'','\'B6of10\'',bus
'\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'',saab
'\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B6of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'',opel
'\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'',bus
'\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',van
'\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B9of10\'',bus
'\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'',bus
'\'B6of10\'','\'B8of10\'','\'B10of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B8of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B5of10\'','\'B7of10\'',saab
'\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B6of10\'',van
'\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',saab
'\'B8of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B7of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'','\'B7of10\'','\'B4of10\'','\'B6of10\'',saab
'\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'',bus
'\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'',saab
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'',van
'\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B8of10\'',saab
'\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B7of10\'','\'B7of10\'',opel
'\'B7of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B7of10\'',opel
'\'B4of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B8of10\'','\'B8of10\'',opel
'\'B6of10\'','\'B5of10\'','\'B7of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B6of10\'','\'B7of10\'',van
'\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'',bus
'\'B4of10\'','\'B6of10\'','\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'',van
'\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B6of10\'',saab
'\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'',bus
'\'B5of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'',opel
'\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',van
'\'B5of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'','\'B7of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'',van
'\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B6of10\'',saab
'\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B8of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'',saab
'\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'',van
'\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'',van
'\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'',bus
'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B7of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'',van
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B8of10\'','\'B9of10\'',saab
'\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'',saab
'\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'',saab
'\'B6of10\'','\'B9of10\'','\'B9of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B6of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B6of10\'',opel
'\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B9of10\'','\'B10of10\'',bus
'\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B4of10\'','\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'',bus
'\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'',van
'\'B6of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B6of10\'',saab
'\'B4of10\'','\'B6of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'',van
'\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'',opel
'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'',van
'\'B7of10\'','\'B7of10\'','\'B9of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B8of10\'','\'B8of10\'',opel
'\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'',opel
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',van
'\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'',bus
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'',bus
'\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',opel
'\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',bus
'\'B6of10\'','\'B9of10\'','\'B9of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B7of10\'','\'B9of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'',opel
'\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B7of10\'',van
'\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B5of10\'',bus
'\'B5of10\'','\'B9of10\'','\'B9of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B6of10\'','\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',opel
'\'B6of10\'','\'B10of10\'','\'B10of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B7of10\'','\'B10of10\'','\'B5of10\'','\'B7of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B4of10\'','\'B6of10\'',opel
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'',opel
'\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',opel
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'',van
'\'B7of10\'','\'B8of10\'','\'B9of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B6of10\'',opel
'\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'',saab
'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'',saab
'\'B7of10\'','\'B8of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'',bus
'\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B6of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',bus
