Left-Weight,Left-Distance,Right-Weight,Right-Distance,'Class Name'
'\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'',R
'\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',B
'\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',R
'\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',R
'\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B8of10\'',R
'\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'',R
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B1of10\'',R
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'',R
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'',R
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',R
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',R
'\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',R
'\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B3of10\'',R
'\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'',R
'\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'',R
'\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'',R
'\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',L
'\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B3of10\'',L
'\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'',L
'\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'',B
'\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B10of10\'',R
'\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B1of10\'',L
'\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B3of10\'',B
'\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'',R
'\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B8of10\'',R
'\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B10of10\'',R
'\'B1of10\'','\'B8of10\'','\'B5of10\'','\'B1of10\'',L
'\'B1of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'',R
'\'B1of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'',R
'\'B1of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'',R
'\'B1of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'',R
'\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B1of10\'',B
'\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B3of10\'',R
'\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B5of10\'',R
'\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'',R
'\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B10of10\'',R
'\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B1of10\'',R
'\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B3of10\'',R
'\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B5of10\'',R
'\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'',R
'\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B10of10\'',R
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',L
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B3of10\'',L
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'',L
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B8of10\'',L
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',B
'\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B1of10\'',L
'\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B3of10\'',L
'\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B5of10\'',R
'\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B8of10\'',R
'\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'',R
'\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B1of10\'',L
'\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B3of10\'',R
'\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'',R
'\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B8of10\'',R
'\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'',R
'\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B1of10\'',L
'\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B3of10\'',R
'\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B5of10\'',R
'\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B8of10\'',R
'\'B1of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'',R
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',B
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B3of10\'',R
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'',R
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'',R
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'',R
'\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',L
'\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'',B
'\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'',R
'\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',R
'\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',R
'\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'',B
'\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'',R
'\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'',R
'\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B8of10\'',R
'\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B10of10\'',R
'\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'',R
'\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'',R
'\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'',R
'\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B8of10\'',R
'\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'',R
'\'B3of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'',R
'\'B3of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'',R
'\'B3of10\'','\'B1of10\'','\'B8of10\'','\'B5of10\'',R
'\'B3of10\'','\'B1of10\'','\'B8of10\'','\'B8of10\'',R
'\'B3of10\'','\'B1of10\'','\'B8of10\'','\'B10of10\'',R
'\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'',R
'\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'',R
'\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'',R
'\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B8of10\'',R
'\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'',R
'\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',L
'\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'',L
'\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'',L
'\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B8of10\'',B
'\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',R
'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'',L
'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',B
'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'',R
'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B8of10\'',R
'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B10of10\'',R
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'',L
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',R
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'',R
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B8of10\'',R
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B10of10\'',R
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B1of10\'',B
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'',R
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B5of10\'',R
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B8of10\'',R
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B10of10\'',R
'\'B3of10\'','\'B3of10\'','\'B10of10\'','\'B1of10\'',R
'\'B3of10\'','\'B3of10\'','\'B10of10\'','\'B3of10\'',R
'\'B3of10\'','\'B3of10\'','\'B10of10\'','\'B5of10\'',R
'\'B3of10\'','\'B3of10\'','\'B10of10\'','\'B8of10\'',R
'\'B3of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'',R
'\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',L
'\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'',L
'\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'',L
'\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B8of10\'',L
'\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'',L
'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'',L
'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'',L
'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'',B
'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B8of10\'',R
'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'',R
'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',L
'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',B
'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',R
'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B8of10\'',R
'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'',R
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B1of10\'',L
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'',R
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'',R
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',R
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',R
'\'B3of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',L
'\'B3of10\'','\'B5of10\'','\'B10of10\'','\'B3of10\'',R
'\'B3of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'',R
'\'B3of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'',R
'\'B3of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'',R
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',L
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B3of10\'',L
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'',L
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'',L
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B10of10\'',L
'\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B1of10\'',L
'\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B3of10\'',L
'\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'',L
'\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B8of10\'',B
'\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B10of10\'',R
'\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B1of10\'',L
'\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'',L
'\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'',R
'\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'',R
'\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'',R
'\'B3of10\'','\'B8of10\'','\'B8of10\'','\'B1of10\'',L
'\'B3of10\'','\'B8of10\'','\'B8of10\'','\'B3of10\'',B
'\'B3of10\'','\'B8of10\'','\'B8of10\'','\'B5of10\'',R
'\'B3of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'',R
'\'B3of10\'','\'B8of10\'','\'B8of10\'','\'B10of10\'',R
'\'B3of10\'','\'B8of10\'','\'B10of10\'','\'B1of10\'',L
'\'B3of10\'','\'B8of10\'','\'B10of10\'','\'B3of10\'',R
'\'B3of10\'','\'B8of10\'','\'B10of10\'','\'B5of10\'',R
'\'B3of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'',R
'\'B3of10\'','\'B8of10\'','\'B10of10\'','\'B10of10\'',R
'\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',L
'\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B3of10\'',L
'\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'',L
'\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B8of10\'',L
'\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',L
'\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B1of10\'',L
'\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B3of10\'',L
'\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B5of10\'',L
'\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B8of10\'',L
'\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'',B
'\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B1of10\'',L
'\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B3of10\'',L
'\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'',L
'\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B8of10\'',R
'\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'',R
'\'B3of10\'','\'B10of10\'','\'B8of10\'','\'B1of10\'',L
'\'B3of10\'','\'B10of10\'','\'B8of10\'','\'B3of10\'',L
'\'B3of10\'','\'B10of10\'','\'B8of10\'','\'B5of10\'',R
'\'B3of10\'','\'B10of10\'','\'B8of10\'','\'B8of10\'',R
'\'B3of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'',R
'\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',L
'\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B3of10\'',B
'\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'',R
'\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'',R
'\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'',R
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',L
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'',L
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'',B
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'',R
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',R
'\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'',L
'\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'',R
'\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'',R
'\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B8of10\'',R
'\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B10of10\'',R
'\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'',B
'\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B3of10\'',R
'\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'',R
'\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B8of10\'',R
'\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'',R
'\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'',R
'\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'',R
'\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B5of10\'',R
'\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B8of10\'',R
'\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B10of10\'',R
'\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'',R
'\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'',R
'\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'',R
'\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B8of10\'',R
'\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'',R
'\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',L
'\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'',L
'\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'',L
'\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B8of10\'',L
'\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',L
'\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'',L
'\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',L
'\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'',B
'\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B8of10\'',R
'\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B10of10\'',R
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'',L
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',B
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'',R
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B8of10\'',R
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B10of10\'',R
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B1of10\'',L
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'',R
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B5of10\'',R
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B8of10\'',R
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B10of10\'',R
'\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B1of10\'',L
'\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B3of10\'',R
'\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B5of10\'',R
'\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B8of10\'',R
'\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'',R
'\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',L
'\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'',L
'\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'',L
'\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B8of10\'',L
'\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'',L
'\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'',L
'\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'',L
'\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'',L
'\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B8of10\'',L
'\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'',R
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',L
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',L
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',B
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B8of10\'',R
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'',R
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B1of10\'',L
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'',L
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'',R
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',R
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',R
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',L
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B3of10\'',R
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'',R
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'',R
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'',R
'\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',L
'\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B3of10\'',L
'\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'',L
'\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'',L
'\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B10of10\'',L
'\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B1of10\'',L
'\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B3of10\'',L
'\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'',L
'\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B8of10\'',L
'\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B10of10\'',L
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B1of10\'',L
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'',L
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'',L
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'',B
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'',R
'\'B5of10\'','\'B8of10\'','\'B8of10\'','\'B1of10\'',L
'\'B5of10\'','\'B8of10\'','\'B8of10\'','\'B3of10\'',L
'\'B5of10\'','\'B8of10\'','\'B8of10\'','\'B5of10\'',B
'\'B5of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'',R
'\'B5of10\'','\'B8of10\'','\'B8of10\'','\'B10of10\'',R
'\'B5of10\'','\'B8of10\'','\'B10of10\'','\'B1of10\'',L
'\'B5of10\'','\'B8of10\'','\'B10of10\'','\'B3of10\'',L
'\'B5of10\'','\'B8of10\'','\'B10of10\'','\'B5of10\'',R
'\'B5of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'',R
'\'B5of10\'','\'B8of10\'','\'B10of10\'','\'B10of10\'',R
'\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',L
'\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B3of10\'',L
'\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'',L
'\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B8of10\'',L
'\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',L
'\'B5of10\'','\'B10of10\'','\'B3of10\'','\'B1of10\'',L
'\'B5of10\'','\'B10of10\'','\'B3of10\'','\'B3of10\'',L
