sepal_length,sepal_width,petal_length,petal_width,class
'\'B2of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'',Iris-setosa
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'',Iris-setosa
'\'B3of10\'','\'B9of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'',Iris-setosa
'\'B3of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B8of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B2of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'',Iris-versicolor
'\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'',Iris-versicolor
'\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B5of10\'',Iris-versicolor
'\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'',Iris-versicolor
'\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'',Iris-versicolor
'\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'',Iris-versicolor
'\'B5of10\'','\'B4of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'',Iris-versicolor
'\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B5of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'',Iris-versicolor
'\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'',Iris-versicolor
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B8of10\'',Iris-versicolor
'\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B6of10\'','\'B3of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B5of10\'','\'B4of10\'','\'B7of10\'','\'B5of10\'',Iris-versicolor
'\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B7of10\'',Iris-versicolor
'\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'',Iris-versicolor
'\'B4of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'',Iris-versicolor
'\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'',Iris-versicolor
'\'B5of10\'','\'B3of10\'','\'B7of10\'','\'B7of10\'',Iris-versicolor
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'',Iris-versicolor
'\'B5of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'',Iris-versicolor
'\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B6of10\'','\'B2of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'',Iris-versicolor
'\'B5of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'',Iris-versicolor
'\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'',Iris-versicolor
'\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',Iris-versicolor
'\'B6of10\'','\'B6of10\'','\'B9of10\'','\'B10of10\'',Iris-virginica
'\'B5of10\'','\'B3of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B8of10\'','\'B5of10\'','\'B9of10\'','\'B9of10\'',Iris-virginica
'\'B6of10\'','\'B4of10\'','\'B8of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B9of10\'','\'B9of10\'',Iris-virginica
'\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B9of10\'',Iris-virginica
'\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B7of10\'',Iris-virginica
'\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B3of10\'','\'B9of10\'','\'B8of10\'',Iris-virginica
'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B10of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B3of10\'','\'B8of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B9of10\'',Iris-virginica
'\'B4of10\'','\'B3of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B5of10\'','\'B4of10\'','\'B7of10\'','\'B10of10\'',Iris-virginica
'\'B6of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',Iris-virginica
'\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B9of10\'',Iris-virginica
'\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'',Iris-virginica
'\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B6of10\'',Iris-virginica
'\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B3of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B9of10\'',Iris-virginica
'\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B4of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B4of10\'','\'B8of10\'','\'B9of10\'',Iris-virginica
'\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B7of10\'',Iris-virginica
'\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B8of10\'',Iris-virginica
'\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B4of10\'','\'B8of10\'','\'B9of10\'',Iris-virginica
'\'B6of10\'','\'B4of10\'','\'B7of10\'','\'B6of10\'',Iris-virginica
'\'B5of10\'','\'B3of10\'','\'B8of10\'','\'B6of10\'',Iris-virginica
'\'B10of10\'','\'B5of10\'','\'B9of10\'','\'B10of10\'',Iris-virginica
'\'B6of10\'','\'B6of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B6of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',Iris-virginica
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B9of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B10of10\'',Iris-virginica
'\'B5of10\'','\'B3of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B9of10\'','\'B10of10\'',Iris-virginica
'\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B6of10\'','\'B3of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
'\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B8of10\'',Iris-virginica
'\'B6of10\'','\'B6of10\'','\'B8of10\'','\'B10of10\'',Iris-virginica
'\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B8of10\'',Iris-virginica
