hair,feathers,eggs,milk,airbone,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
10,1,1,10,1,1,10,10,10,10,1,1,5,10,1,10,1
10,1,1,10,1,1,1,10,10,10,1,1,5,10,10,10,1
1,10,10,1,1,1,10,1,10,10,1,1,3,10,1,10,2
1,1,1,1,1,1,10,1,1,10,10,1,10,10,1,1,7
1,1,10,1,1,10,1,10,10,1,1,10,1,10,1,1,4
10,1,1,10,1,10,10,10,10,10,1,10,1,1,1,10,1
10,1,1,10,1,10,10,10,10,10,1,10,3,10,1,10,1
1,1,1,1,1,10,10,10,10,1,10,1,1,10,1,1,3
1,1,10,1,1,10,10,1,1,1,10,1,1,1,1,1,7
1,10,10,1,10,10,10,1,10,10,1,1,3,10,1,1,2
1,10,10,1,10,10,10,1,10,10,1,1,3,10,1,1,2
1,1,10,1,1,1,10,10,10,10,1,1,1,10,1,1,3
1,1,10,1,1,1,1,1,1,10,1,1,1,1,1,1,7
1,1,10,1,1,10,1,10,10,1,1,10,1,10,1,1,4
1,10,10,1,10,1,1,1,10,10,1,1,3,10,1,1,2
10,1,1,10,1,1,1,10,10,10,1,1,3,10,1,1,1
1,1,10,1,1,10,10,1,1,1,1,1,7,1,1,1,7
1,1,10,1,1,10,10,10,10,1,10,10,1,10,1,10,4
1,10,10,1,10,10,1,1,10,10,1,1,3,10,1,10,2
1,1,10,1,1,1,1,1,1,10,1,1,8,1,1,1,6
1,1,10,1,1,10,1,10,10,10,1,1,5,1,1,1,5
1,1,10,1,1,1,1,1,10,10,1,1,5,10,1,10,3
1,1,10,1,1,1,10,10,10,10,1,1,5,10,1,1,3
1,1,10,1,1,10,10,10,10,1,1,10,1,10,1,10,4
10,1,1,10,10,1,1,10,10,10,1,1,3,10,1,1,1
10,1,1,10,1,1,1,10,10,10,1,1,5,10,1,1,1
1,10,10,1,10,1,10,1,10,10,1,1,3,10,1,10,2
10,1,1,10,1,1,1,10,10,10,1,1,3,10,1,10,1
10,1,10,1,10,1,1,1,1,10,10,1,8,1,1,1,6
10,1,1,10,1,1,10,10,10,10,1,1,5,10,1,10,1
1,1,10,1,1,1,1,1,1,10,1,1,1,1,1,1,7
1,10,10,1,10,1,1,1,10,10,1,1,3,10,1,1,2
