normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,symboling
4,nissan,gas,std,four,sedan,fwd,front,5,7,6,7,7,ohcv,six,5,mpfi,7,6,2,5,5,2,2,3,0
3,nissan,gas,std,four,wagon,fwd,front,5,7,6,7,8,ohcv,six,5,mpfi,7,6,2,5,5,2,2,3,0
3,nissan,gas,std,four,sedan,fwd,front,5,7,6,7,7,ohcv,six,5,mpfi,7,6,2,5,5,2,3,3,0
7,nissan,gas,std,two,hatchback,rwd,front,2,5,7,2,7,ohcv,six,5,mpfi,7,6,2,5,5,2,3,3,3
7,nissan,gas,turbo,two,hatchback,rwd,front,2,5,7,2,7,ohcv,six,5,mpfi,7,6,1,7,5,2,2,4,3
9,nissan,gas,std,two,hatchback,rwd,front,4,6,7,2,7,ohcv,six,5,mpfi,7,6,2,5,5,2,3,4,1
6,peugot,gas,std,four,sedan,rwd,front,7,7,7,8,6,l,four,3,mpfi,7,6,1,3,4,2,3,2,0
6,peugot,diesel,turbo,four,sedan,rwd,front,7,7,7,8,7,l,four,4,idi,9,7,9,2,1,5,5,3,0
3,peugot,gas,std,four,wagon,rwd,front,9,9,7,10,7,l,four,3,mpfi,7,6,1,3,4,2,3,2,0
3,peugot,diesel,turbo,four,wagon,rwd,front,9,9,7,10,8,l,four,4,idi,9,7,9,2,1,4,3,3,0
6,peugot,gas,std,four,sedan,rwd,front,7,7,7,8,7,l,four,3,mpfi,7,1,1,2,4,2,3,3,0
6,peugot,diesel,turbo,four,sedan,rwd,front,7,7,7,8,7,l,four,4,idi,9,7,9,2,1,5,5,3,0
3,peugot,gas,std,four,wagon,rwd,front,9,9,7,8,7,l,four,3,mpfi,7,1,1,2,4,2,3,3,0
3,peugot,diesel,turbo,four,wagon,rwd,front,9,9,7,10,8,l,four,4,idi,9,7,9,2,1,4,3,3,0
6,peugot,gas,std,four,sedan,rwd,front,7,7,7,8,7,l,four,3,mpfi,7,6,1,3,4,2,3,3,0
6,peugot,diesel,turbo,four,sedan,rwd,front,7,7,7,8,7,l,four,4,idi,9,7,9,2,1,5,5,4,0
6,peugot,gas,turbo,four,sedan,rwd,front,7,7,7,7,7,l,four,3,mpfi,8,6,1,4,6,2,3,4,0
3,plymouth,gas,std,two,hatchback,fwd,front,3,3,3,3,2,ohc,four,2,2bbl,4,6,2,1,6,7,7,1,1
3,plymouth,gas,turbo,two,hatchback,fwd,front,3,3,3,3,3,ohc,four,2,spdi,4,7,1,3,6,4,4,1,1
5,plymouth,gas,std,four,hatchback,fwd,front,3,3,3,3,2,ohc,four,2,2bbl,4,6,2,1,6,5,6,1,1
5,plymouth,gas,std,four,sedan,fwd,front,3,4,3,3,2,ohc,four,2,2bbl,4,6,2,1,6,5,6,1,1
5,plymouth,gas,std,four,sedan,fwd,front,3,4,3,3,3,ohc,four,2,2bbl,4,6,2,1,6,5,6,1,1
1,plymouth,gas,std,four,wagon,fwd,front,5,5,4,10,5,ohc,four,3,2bbl,6,7,1,2,4,4,4,1,-1
3,plymouth,gas,turbo,two,hatchback,rwd,front,3,5,5,3,6,ohc,four,4,spdi,8,9,1,5,4,2,3,2,3
7,porsche,gas,std,two,hatchback,rwd,front,3,5,7,3,6,ohc,four,4,mpfi,10,5,2,4,6,2,3,5,3
3,porsche,gas,std,two,hardtop,rwd,rear,1,5,4,4,5,ohcf,six,6,mpfi,9,4,2,7,8,2,3,7,3
3,porsche,gas,std,two,hardtop,rwd,rear,1,5,4,4,5,ohcf,six,6,mpfi,9,4,2,7,8,2,3,8,3
3,porsche,gas,std,two,convertible,rwd,rear,1,5,4,4,6,ohcf,six,6,mpfi,9,4,2,7,8,2,3,8,3
3,porsche,gas,std,two,hatchback,rwd,front,4,6,10,3,8,dohcv,eight,6,mpfi,10,5,2,10,7,2,4,3,1
3,renault,gas,std,four,wagon,fwd,front,3,7,6,7,5,ohc,four,3,mpfi,7,9,2,3,4,3,4,2,0
3,renault,gas,std,two,hatchback,fwd,front,3,6,6,3,4,ohc,four,3,mpfi,7,9,2,3,4,3,4,2,2
5,saab,gas,std,two,hatchback,fwd,front,4,7,6,7,5,ohc,four,3,mpfi,8,5,2,3,5,3,4,2,3
3,saab,gas,std,four,sedan,fwd,front,4,7,6,7,5,ohc,four,3,mpfi,8,5,2,3,5,3,4,2,2
5,saab,gas,std,two,hatchback,fwd,front,4,7,6,7,5,ohc,four,3,mpfi,1,1,2,3,5,3,4,3,3
3,saab,gas,std,four,sedan,fwd,front,4,7,6,7,5,ohc,four,3,mpfi,8,5,2,3,5,3,4,3,2
5,saab,gas,turbo,two,hatchback,fwd,front,4,7,6,7,6,dohc,four,3,mpfi,8,5,2,5,6,2,3,4,3
3,saab,gas,turbo,four,sedan,fwd,front,4,7,6,7,6,dohc,four,3,mpfi,8,5,2,5,6,2,3,4,2
1,subaru,gas,std,two,hatchback,fwd,front,3,3,3,5,3,ohcf,four,2,2bbl,8,2,2,1,4,5,6,1,2
1,subaru,gas,std,two,hatchback,fwd,front,3,3,3,5,3,ohcf,four,2,2bbl,8,3,2,2,2,4,4,1,2
1,subaru,gas,std,two,hatchback,4wd,front,2,3,3,7,3,ohcf,four,2,2bbl,8,3,2,2,2,4,4,1,2
2,subaru,gas,std,four,sedan,fwd,front,4,5,5,4,3,ohcf,four,2,2bbl,8,3,2,2,3,6,6,1,0
2,subaru,gas,std,four,sedan,fwd,front,4,5,5,4,3,ohcf,four,2,2bbl,8,3,2,2,2,5,5,1,0
2,subaru,gas,std,four,sedan,fwd,front,4,5,5,4,4,ohcf,four,2,mpfi,8,3,2,2,5,4,5,2,0
2,subaru,gas,std,four,sedan,4wd,front,4,5,5,6,4,ohcf,four,2,2bbl,8,3,2,2,3,4,3,2,0
2,subaru,gas,turbo,four,sedan,4wd,front,4,5,5,6,4,ohcf,four,2,mpfi,8,3,1,3,3,4,4,2,0
2,subaru,gas,std,four,wagon,fwd,front,4,5,5,5,4,ohcf,four,2,2bbl,8,3,2,2,3,5,5,1,0
2,subaru,gas,std,four,wagon,fwd,front,4,5,5,5,4,ohcf,four,2,mpfi,8,3,2,2,5,4,4,2,0
2,subaru,gas,std,four,wagon,4wd,front,4,5,5,6,4,ohcf,four,2,2bbl,8,3,2,2,3,3,4,1,0
2,subaru,gas,turbo,four,wagon,4wd,front,4,5,5,6,5,ohcf,four,2,mpfi,8,3,1,3,3,3,2,2,0
2,toyota,gas,std,two,hatchback,fwd,front,3,3,3,6,2,ohc,four,2,2bbl,4,5,2,1,3,7,7,1,1
2,toyota,gas,std,two,hatchback,fwd,front,3,3,3,6,3,ohc,four,2,2bbl,4,5,2,1,3,5,6,1,1
1,toyota,gas,std,four,hatchback,fwd,front,3,3,3,6,3,ohc,four,2,2bbl,4,5,2,1,3,5,6,1,1
1,toyota,gas,std,four,wagon,fwd,front,3,5,3,10,4,ohc,four,2,2bbl,4,5,2,1,3,5,6,1,0
1,toyota,gas,std,four,wagon,4wd,front,3,5,3,10,4,ohc,four,2,2bbl,4,5,2,1,3,4,5,1,0
2,toyota,gas,std,four,wagon,4wd,front,3,5,3,10,7,ohc,four,2,2bbl,4,5,2,1,3,4,5,1,0
2,toyota,gas,std,four,sedan,fwd,front,3,4,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,6,1,0
2,toyota,gas,std,four,hatchback,fwd,front,3,4,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,6,1,0
2,toyota,diesel,std,four,sedan,fwd,front,3,4,4,5,4,ohc,four,2,idi,6,7,10,1,2,6,6,1,0
2,toyota,diesel,std,four,hatchback,fwd,front,3,4,4,5,4,ohc,four,2,idi,6,7,10,1,2,7,9,1,0
2,toyota,gas,std,four,sedan,fwd,front,3,4,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,7,9,1,0
2,toyota,gas,std,four,hatchback,fwd,front,3,4,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,5,1,0
2,toyota,gas,std,four,sedan,fwd,front,3,4,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,5,2,0
6,toyota,gas,std,two,sedan,rwd,front,3,5,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,5,1,1
6,toyota,gas,std,two,hatchback,rwd,front,3,5,4,5,3,ohc,four,2,2bbl,5,5,2,1,3,5,5,1,1
6,toyota,gas,std,two,sedan,rwd,front,3,5,4,5,4,dohc,four,2,mpfi,5,5,2,3,10,4,4,2,1
6,toyota,gas,std,two,hatchback,rwd,front,3,5,4,5,4,dohc,four,2,mpfi,5,5,2,3,10,4,4,2,1
4,toyota,gas,std,two,hardtop,rwd,front,4,6,5,4,5,ohc,four,4,mpfi,8,7,2,3,3,4,4,1,2
4,toyota,gas,std,two,hardtop,rwd,front,4,6,5,4,5,ohc,four,4,mpfi,8,7,2,3,3,4,4,2,2
4,toyota,gas,std,two,hatchback,rwd,front,4,6,5,4,5,ohc,four,4,mpfi,8,7,2,3,3,4,4,2,2
4,toyota,gas,std,two,hardtop,rwd,front,4,6,5,4,5,ohc,four,4,mpfi,8,7,2,3,3,4,4,2,2
4,toyota,gas,std,two,hatchback,rwd,front,4,6,5,4,5,ohc,four,4,mpfi,8,7,2,3,3,4,4,2,2
4,toyota,gas,std,two,convertible,rwd,front,4,6,5,5,6,ohc,four,4,mpfi,8,7,2,3,3,4,4,4,2
1,toyota,gas,std,four,sedan,fwd,front,5,6,6,6,4,ohc,four,3,mpfi,6,7,2,2,1,5,5,1,-1
1,toyota,diesel,turbo,four,sedan,fwd,front,5,6,6,6,4,ohc,four,2,idi,6,7,10,2,2,5,5,2,-1
1,toyota,gas,std,four,hatchback,fwd,front,5,6,6,6,4,ohc,four,3,mpfi,6,7,2,2,1,4,5,2,-1
1,toyota,gas,std,four,sedan,fwd,front,5,6,6,6,4,ohc,four,3,mpfi,6,7,2,2,1,4,5,2,-1
1,toyota,gas,std,four,hatchback,fwd,front,5,6,6,6,4,ohc,four,3,mpfi,6,7,2,2,1,4,5,2,-1
7,toyota,gas,std,two,hatchback,rwd,front,5,7,7,4,6,dohc,six,5,mpfi,6,7,2,5,5,2,3,3,3
7,toyota,gas,std,two,hatchback,rwd,front,5,7,7,4,6,dohc,six,5,mpfi,6,7,2,5,5,2,3,3,3
2,toyota,gas,std,four,sedan,rwd,front,6,7,6,6,7,dohc,six,5,mpfi,6,7,2,5,5,2,3,3,-1
3,toyota,gas,std,four,wagon,rwd,front,6,7,6,6,7,dohc,six,4,mpfi,6,7,2,5,5,2,3,3,-1
3,volkswagen,diesel,std,two,sedan,fwd,front,4,5,5,7,3,ohc,four,2,idi,4,7,10,1,3,7,8,1,2
3,volkswagen,gas,std,two,sedan,fwd,front,4,5,5,7,3,ohc,four,2,mpfi,5,7,2,2,5,4,5,1,2
2,volkswagen,diesel,std,four,sedan,fwd,front,4,5,5,7,4,ohc,four,2,idi,4,7,10,1,3,7,8,1,2
2,volkswagen,gas,std,four,sedan,fwd,front,4,5,5,7,3,ohc,four,2,mpfi,5,7,2,2,5,4,5,1,2
2,volkswagen,gas,std,four,sedan,fwd,front,4,5,5,7,4,ohc,four,2,mpfi,5,7,2,2,5,4,5,1,2
2,volkswagen,diesel,turbo,four,sedan,fwd,front,4,5,5,7,4,ohc,four,2,idi,4,7,10,1,2,7,7,2,2
2,volkswagen,gas,std,four,sedan,fwd,front,4,5,5,7,4,ohc,four,2,mpfi,5,7,2,3,6,4,5,2,2
3,volkswagen,gas,std,two,convertible,fwd,front,3,3,4,7,3,ohc,four,2,mpfi,5,7,1,2,6,4,4,2,3
10,volkswagen,gas,std,two,hatchback,fwd,front,3,4,4,3,3,ohc,four,2,mpfi,5,7,1,2,6,4,4,2,3
3,volkswagen,gas,std,four,sedan,fwd,front,5,6,6,7,5,ohc,five,3,mpfi,5,7,1,3,6,2,3,3,0
3,volkswagen,diesel,turbo,four,sedan,fwd,front,5,6,6,7,5,ohc,four,2,idi,4,7,10,1,2,6,6,3,0
3,volkswagen,gas,std,four,wagon,fwd,front,5,7,6,7,5,ohc,four,2,mpfi,5,7,2,2,6,4,4,2,0
2,volvo,gas,std,four,sedan,rwd,front,6,8,6,8,6,ohc,four,4,mpfi,9,6,2,3,6,3,4,2,-2
1,volvo,gas,std,four,wagon,rwd,front,6,8,6,9,6,ohc,four,4,mpfi,9,6,2,3,6,3,4,3,-1
2,volvo,gas,std,four,sedan,rwd,front,6,8,6,8,6,ohc,four,4,mpfi,9,6,2,3,6,4,4,3,-2
1,volvo,gas,std,four,wagon,rwd,front,6,8,6,9,7,ohc,four,4,mpfi,9,6,2,3,6,4,4,3,-1
2,volvo,gas,turbo,four,sedan,rwd,front,6,8,6,8,7,ohc,four,3,mpfi,8,6,1,5,4,2,2,4,-2
1,volvo,gas,turbo,four,wagon,rwd,front,6,8,6,9,7,ohc,four,3,mpfi,8,6,1,5,4,2,2,4,-1
2,volvo,gas,std,four,sedan,rwd,front,7,8,8,7,6,ohc,four,4,mpfi,9,6,2,3,6,3,4,3,-1
2,volvo,gas,turbo,four,sedan,rwd,front,7,8,8,7,7,ohc,four,4,mpfi,9,6,2,5,5,2,3,4,-1
2,volvo,gas,std,four,sedan,rwd,front,7,8,8,7,6,ohcv,six,5,mpfi,8,4,2,4,6,2,2,5,-1
2,volvo,diesel,turbo,four,sedan,rwd,front,7,8,8,7,7,ohc,six,4,idi,4,7,10,3,3,4,3,5,-1
2,volvo,gas,turbo,four,sedan,rwd,front,7,8,8,7,7,ohc,four,4,mpfi,9,6,2,3,6,2,3,5,-1
